#OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,1-100-0.22
000c3ef2a4ff469d6650dc771f6e7b64,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade bacterium,SAR11 clade bacterium,SAR11 clade bacterium,57
00232f374cfc930f3fffbaef0d0c6d80,Bacteria,Proteobacteria,Gammaproteobacteria,HgCo23,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium,485
007e0a04dc5072d7809da524184fa063,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,192
00c4c1c65d8669ed9f07abe149f9a01d,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,OCS116 clade bacterium,OCS116 clade bacterium,9797
00d4ca0359c74621f0e2535772206d19,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,UBA10353 marine group bacterium,UBA10353 marine group bacterium,UBA10353 marine group bacterium,266
00e786013bef0744586482eb58b4630a,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,271
00eeb15cbf500c183a320d691e8c86ef,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Euryhalocaulis,Euryhalocaulis caribicus,462
00f00c6f2699d7b334f1e21eaf639449,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade bacterium,SAR11 clade bacterium,SAR11 clade bacterium,60
00fa711f0a437815895e1b4cc38dc1dc,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,FS140-16B-02 marine group,Ambiguous_taxa,142
014b67ec3e21e921889d563b4c0be1bc,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,52
015212599c113c7252feb5810083a0a8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade I bacterium,Clade I bacterium,117
01b6f3f98a6524be86692ff63633f7b3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,unidentified marine bacterioplankton,unidentified marine bacterioplankton,55
02125f9ec5134e17794f204f4f7c0698,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,216
023a4d681af2169f0e48a60b3a8d99cc,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,OCS116 clade bacterium,OCS116 clade bacterium,207
025d0b35f373518df10cc2fa1d9b4c32,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,Candidatus Actinomarina bacterium,649
02c2720b628165d079fd5018f1f36a87,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium,105
02c8c96b20214c62b77cb705cb5aa0da,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade I bacterium,Clade I bacterium,46
02e3ad6f6c492ffd91363fd35151c0dc,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,Ambiguous_taxa,109
038ad62d438c229ad1aa8a236b075e0c,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade bacterium,SAR11 clade bacterium,SAR11 clade bacterium,62
039ecff143df7b77d95da785b6e8b6fb,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,506
0441cd17a1235443caa3291fe52a7cec,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536 bacterium,Ga0077536 bacterium,Ga0077536 bacterium,68
045d98a7e4f0ed5847ae030a06b16efa,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,Ambiguous_taxa,884
048f02f0d1dacb1d1165bcf6bee94b2f,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,Ambiguous_taxa,95
04a47212749ae920d5426a2650d9f8e4,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,marine metagenome,marine metagenome,marine metagenome,171
04ddac9c34b10011f7de0bc7b07b14ed,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobiaceae bacterium,Cyanobiaceae bacterium,82
04e2bc69490988acddcd70c010e07083,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium,165
050b33e479ca125ed4e8070919640f43,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade bacterium,SAR11 clade bacterium,SAR11 clade bacterium,65
05a90cb47fab4c34a515494e80d6a51e,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,Ambiguous_taxa,162
05d1d184992bc049d7dea90024bbe69b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured Rhodobacteraceae bacterium,120
066db2c220c42f5526322e65a6f5f117,Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,LS-NOB bacterium,104
071646bed72d4ce35f8ef61e79d18132,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,Ambiguous_taxa,152
073ea1b04c5e699359ee71d6afe9f59a,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,171
074dd3c5f98f908b9cb924bc02c591da,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,FS140-16B-02 marine group,Ambiguous_taxa,8
075c32e386967d7aa9b1b4a27c9b4854,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,Marinimicrobia (SAR406 clade) bacterium,240
080eb571e028e9df38cd8be945d8c883,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas bacterium,402
0831a05f8ec9d13ec01ffd46867c7d41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured bacterium,213
08c08432dc9f237faf2c21a3a51a5243,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade bacterium,SAR11 clade bacterium,SAR11 clade bacterium,978
08c2711bdd6db79188857ef29e592bad,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,Methylophaga bacterium,100
08d6c6f7c7d32dd99b55caa5a581842d,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium,92
09304de7bcdde93714df6d4800a79b4d,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium bacterium,546
095fc9119cf3281ceeaa14bea826fc57,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade I bacterium,Clade I bacterium,3190
098148fd37c4e150eeb8daae24b7faa5,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Henriciella,Henriciella bacterium,942
0995e1022a94d30aa510a19c862ec575,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas bacterium,90
