long,lat,ProvCode
-25.60820046,42.66514806,NADR
-44.17638503,8.703358099999999,NATR
-33.26524093,-6.0807347400000005,WTRA
-18.07757975,-35.46627693,SATL
-23.38643097,25.15629096,NASE
-60.64361538,-56.94189684,FKLD
-171.73301105000002,55.27184463,BERS
-153.62954025,42.54783655,PSAE
-150.66137566,34.59259259,NPPF
125.53082872,12.807091629999999,NPSW
-112.38056381,-33.91349633,SPSG
-148.01825168,12.23388105,NPTG
-122.25348907,-1.3513777200000003,PNEC
-127.17411657,-12.66733317,PEQD
-3.8085361,-48.79840836,SSTC
-3.40576505,-57.5233392,SANT
-1.96479302,-67.14979581,ANTA
